ID;COTIS
300001;238.841670982
300002;238.841670982
300003;238.841670982
300004;238.841670982
300005;238.841670982
300006;238.841670982
300007;238.841670982
300008;238.841670982
300009;238.841670982
300010;238.841670982
300011;238.841670982
300012;238.841670982
300013;238.841670982
300014;238.841670982
300015;238.841670982
300016;238.841670982
300017;238.841670982
300018;238.841670982
300019;238.841670982
300020;238.841670982
300021;238.841670982
300022;238.841670982
300023;238.841670982
300024;238.841670982
300025;238.841670982
300026;238.841670982
300027;238.841670982
300028;238.841670982
300029;238.841670982
300030;238.841670982
300031;238.841670982
300032;238.841670982
300033;238.841670982
300034;238.841670982
300035;238.841670982
300036;238.841670982
300037;238.841670982
300038;238.841670982
300039;238.841670982
300040;238.841670982
300041;238.841670982
300042;238.841670982
300043;238.841670982
300044;238.841670982
300045;238.841670982
300046;238.841670982
300047;238.841670982
300048;238.841670982
300049;238.841670982
300050;238.841670982
300051;238.841670982
300052;238.841670982
300053;238.841670982
300054;238.841670982
300055;238.841670982
300056;238.841670982
300057;238.841670982
300058;238.841670982
300059;238.841670982
300060;238.841670982
300061;238.841670982
300062;238.841670982
300063;238.841670982
300064;238.841670982
300065;238.841670982
300066;238.841670982
300067;238.841670982
300068;238.841670982
300069;238.841670982
300070;238.841670982
300071;238.841670982
300072;238.841670982
300073;238.841670982
300074;238.841670982
300075;238.841670982
300076;238.841670982
300077;238.841670982
300078;238.841670982
300079;238.841670982
300080;238.841670982
300081;238.841670982
300082;238.841670982
300083;238.841670982
300084;238.841670982
300085;238.841670982
300086;238.841670982
300087;238.841670982
300088;238.841670982
300089;238.841670982
300090;238.841670982
300091;238.841670982
300092;238.841670982
300093;238.841670982
300094;238.841670982
300095;238.841670982
300096;238.841670982
300097;238.841670982
300098;238.841670982
300099;238.841670982
300100;238.841670982
300101;238.841670982
300102;238.841670982
300103;238.841670982
300104;238.841670982
300105;238.841670982
300106;238.841670982
300107;238.841670982
300108;238.841670982
300109;238.841670982
300110;238.841670982
300111;238.841670982
300112;238.841670982
300113;238.841670982
300114;238.841670982
300115;238.841670982
300116;238.841670982
300117;238.841670982
300118;238.841670982
300119;238.841670982
300120;238.841670982
300121;238.841670982
300122;238.841670982
300123;238.841670982
300124;238.841670982
300125;238.841670982
300126;238.841670982
300127;238.841670982
300128;238.841670982
300129;238.841670982
300130;238.841670982
300131;238.841670982
300132;238.841670982
300133;238.841670982
300134;238.841670982
300135;238.841670982
300136;238.841670982
300137;238.841670982
300138;238.841670982
300139;238.841670982
300140;238.841670982
300141;238.841670982
300142;238.841670982
300143;238.841670982
300144;238.841670982
300145;238.841670982
300146;238.841670982
300147;238.841670982
300148;238.841670982
300149;238.841670982
300150;238.841670982
300151;238.841670982
300152;238.841670982
300153;238.841670982
300154;238.841670982
300155;238.841670982
300156;238.841670982
300157;238.841670982
300158;238.841670982
300159;238.841670982
300160;238.841670982
300161;238.841670982
300162;238.841670982
300163;238.841670982
300164;238.841670982
300165;238.841670982
300166;238.841670982
300167;238.841670982
300168;238.841670982
300169;238.841670982
300170;238.841670982
300171;238.841670982
300172;238.841670982
300173;238.841670982
300174;238.841670982
300175;238.841670982
300176;238.841670982
300177;238.841670982
300178;238.841670982
300179;238.841670982
300180;238.841670982
300181;238.841670982
300182;238.841670982
300183;238.841670982
300184;238.841670982
300185;238.841670982
300186;238.841670982
300187;238.841670982
300188;238.841670982
300189;238.841670982
300190;238.841670982
300191;238.841670982
300192;238.841670982
300193;238.841670982
300194;238.841670982
300195;238.841670982
300196;238.841670982
300197;238.841670982
300198;238.841670982
300199;238.841670982
300200;238.841670982
300201;238.841670982
300202;238.841670982
300203;238.841670982
300204;238.841670982
300205;238.841670982
300206;238.841670982
300207;238.841670982
300208;238.841670982
300209;238.841670982
300210;238.841670982
300211;238.841670982
300212;238.841670982
300213;238.841670982
300214;238.841670982
300215;238.841670982
300216;238.841670982
300217;238.841670982
300218;238.841670982
300219;238.841670982
300220;238.841670982
300221;238.841670982
300222;238.841670982
300223;238.841670982
300224;238.841670982
300225;238.841670982
300226;238.841670982
300227;238.841670982
300228;238.841670982
300229;238.841670982
300230;238.841670982
300231;238.841670982
300232;238.841670982
300233;238.841670982
300234;238.841670982
300235;238.841670982
300236;238.841670982
300237;238.841670982
300238;238.841670982
300239;238.841670982
300240;238.841670982
300241;238.841670982
300242;238.841670982
300243;238.841670982
300244;238.841670982
300245;238.841670982
300246;238.841670982
300247;238.841670982
300248;238.841670982
300249;238.841670982
300250;238.841670982
300251;238.841670982
300252;238.841670982
300253;238.841670982
300254;238.841670982
300255;238.841670982
300256;238.841670982
300257;238.841670982
300258;238.841670982
300259;238.841670982
300260;238.841670982
300261;238.841670982
300262;238.841670982
300263;238.841670982
300264;238.841670982
300265;238.841670982
300266;238.841670982
300267;238.841670982
300268;238.841670982
300269;238.841670982
300270;238.841670982
300271;238.841670982
300272;238.841670982
300273;238.841670982
300274;238.841670982
300275;238.841670982
300276;238.841670982
300277;238.841670982
300278;238.841670982
300279;238.841670982
300280;238.841670982
300281;238.841670982
300282;238.841670982
300283;238.841670982
300284;238.841670982
300285;238.841670982
300286;238.841670982
300287;238.841670982
300288;238.841670982
300289;238.841670982
300290;238.841670982
300291;238.841670982
300292;238.841670982
300293;238.841670982
300294;238.841670982
300295;238.841670982
300296;238.841670982
300297;238.841670982
300298;238.841670982
300299;238.841670982
300300;238.841670982
300301;238.841670982
300302;238.841670982
300303;238.841670982
300304;238.841670982
300305;238.841670982
300306;238.841670982
300307;238.841670982
300308;238.841670982
300309;238.841670982
300310;238.841670982
300311;238.841670982
300312;238.841670982
300313;238.841670982
300314;238.841670982
300315;238.841670982
300316;238.841670982
300317;238.841670982
300318;238.841670982
300319;238.841670982
300320;238.841670982
300321;238.841670982
300322;238.841670982
300323;238.841670982
300324;238.841670982
300325;238.841670982
300326;238.841670982
300327;238.841670982
300328;238.841670982
300329;238.841670982
300330;238.841670982
300331;238.841670982
300332;238.841670982
300333;238.841670982
300334;238.841670982
300335;238.841670982
300336;238.841670982
300337;238.841670982
300338;238.841670982
300339;238.841670982
300340;238.841670982
300341;238.841670982
300342;238.841670982
300343;238.841670982
300344;238.841670982
300345;238.841670982
300346;238.841670982
300347;238.841670982
300348;238.841670982
300349;238.841670982
300350;238.841670982
300351;238.841670982
300352;238.841670982
300353;238.841670982
300354;238.841670982
300355;238.841670982
300356;238.841670982
300357;238.841670982
300358;238.841670982
300359;238.841670982
300360;238.841670982
300361;238.841670982
300362;238.841670982
300363;238.841670982
300364;238.841670982
300365;238.841670982
300366;238.841670982
300367;238.841670982
300368;238.841670982
300369;238.841670982
300370;238.841670982
300371;238.841670982
300372;238.841670982
300373;238.841670982
300374;238.841670982
300375;238.841670982
300376;238.841670982
300377;238.841670982
300378;238.841670982
300379;238.841670982
300380;238.841670982
300381;238.841670982
300382;238.841670982
300383;238.841670982
300384;238.841670982
300385;238.841670982
300386;238.841670982
300387;238.841670982
300388;238.841670982
300389;238.841670982
300390;238.841670982
300391;238.841670982
300392;238.841670982
300393;238.841670982
300394;238.841670982
300395;238.841670982
300396;238.841670982
300397;238.841670982
300398;238.841670982
300399;238.841670982
300400;238.841670982
300401;238.841670982
300402;238.841670982
300403;238.841670982
300404;238.841670982
300405;238.841670982
300406;238.841670982
300407;238.841670982
300408;238.841670982
300409;238.841670982
300410;238.841670982
300411;238.841670982
300412;238.841670982
300413;238.841670982
300414;238.841670982
300415;238.841670982
300416;238.841670982
300417;238.841670982
300418;238.841670982
300419;238.841670982
300420;238.841670982
300421;238.841670982
300422;238.841670982
300423;238.841670982
300424;238.841670982
300425;238.841670982
300426;238.841670982
300427;238.841670982
300428;238.841670982
300429;238.841670982
300430;238.841670982
300431;238.841670982
300432;238.841670982
300433;238.841670982
300434;238.841670982
300435;238.841670982
300436;238.841670982
300437;238.841670982
300438;238.841670982
300439;238.841670982
300440;238.841670982
300441;238.841670982
