t_id,probability
8309,0.0529342832011
9017,0.0498715673233
10709,0.053023001184
3475,0.0520303183192
10140,0.0506976921081
266,0.0520075220183
12749,0.0524964439575
5826,0.0531438799738
1191,0.0529968737036
4810,0.0445894724953
3794,0.0506395514507
8142,0.0528163575138
6986,0.0529699700609
690,0.0498685008702
1009,0.04908772497
5522,0.0491995257705
7704,0.052360046429
1471,0.0512942396955
6808,0.0504753849293
2255,0.0488150532037
4134,0.05236785311
4066,0.0536179735911
4394,0.0519809225552
10876,0.0494439285129
13348,0.0527756868111
3705,0.0530545967776
12302,0.0495179259563
10471,0.0495255140254
6690,0.053421790409
5606,0.0520303344598
7367,0.0489188572971
9253,0.0521007541711
11387,0.0489639442529
2648,0.0521603625196
4063,0.0474061009865
7034,0.0514214110514
8326,0.0530092872468
3263,0.0471318028125
4155,0.0532550062458
12813,0.0504132677468
12462,0.051935194164
9802,0.0513734950583
2160,0.0516935477578
6746,0.0465047823231
12306,0.0495392141292
8405,0.052099096893
1591,0.0529577039211
3932,0.0493446721825
2947,0.0500389838575
7976,0.0536185782743
12731,0.0504681683051
9885,0.0466512257144
348,0.0519949613806
13145,0.0493798742893
12077,0.052267255258
1116,0.0517988195327
10301,0.0492794952817
12985,0.0489653969207
4477,0.0471081833732
10741,0.0471875147261
4387,0.0527044868322
9320,0.0514667296292
2980,0.0515115226979
1156,0.0501857337138
12358,0.0512772081349
2184,0.0529257259467
3406,0.0501525410714
4545,0.0517047076954
10857,0.0510327613708
1930,0.0524429403768
1789,0.0496261528684
1006,0.0507956356285
11675,0.0487718761057
11955,0.0530850211762
7719,0.0466042580085
5354,0.0496914152319
9687,0.0499032510792
36,0.0525935234456
892,0.0515306605989
10342,0.0510110633012
10259,0.0513109063718
9538,0.0494694658986
4975,0.0484727437712
10375,0.0522422790494
3902,0.0499027369143
6905,0.0432562225188
9889,0.0491458579326
118,0.0504772728415
8039,0.0495621022162
5712,0.0502852513295
8259,0.0496911422854
10571,0.0531321992885
